                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.1941,                0.82493,                 1.4728,                0.68973,                0.55525,                0.64585,                0.32475,                 1.7717,                 1.7162,                 2.3985,               0.000548,               0.000548,               0.000548
                    113,                 1.1994,                0.84381,                 1.5002,                 0.7488,                0.55995,                0.66221,                0.32623,                 1.8098,                 1.6431,                 2.4925,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.1909,                  0.822,                 1.4768,                0.75865,                0.49495,                0.62293,                0.31157,                 1.7777,                 1.7883,                 2.4631,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.1963,                0.83592,                 1.4764,                0.75018,                0.58287,                0.66767,                0.33316,                 1.7809,                 1.5521,                 2.4344,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.1851,                 0.8348,                 1.4633,                0.69732,                 0.5442,                0.62966,                0.31726,                 1.7745,                 1.6748,                 2.4579,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.1617,                 0.8267,                 1.4449,                 0.6556,                0.62155,                0.66323,                0.33972,                 1.7696,                 1.6189,                 2.4337,               0.000482,               0.000482,               0.000482
                    118,                 1.1857,                0.80807,                 1.4659,                0.75272,                 0.5663,                0.66785,                0.34523,                 1.7519,                 1.6577,                 2.4163,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.1531,                0.77371,                 1.4421,                0.71256,                0.59392,                0.67561,                0.36506,                 1.7042,                 1.6351,                 2.3662,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.1591,                0.79487,                 1.4306,                0.70503,                0.58564,                0.67655,                0.35129,                 1.7367,                 1.5394,                 2.4161,              0.0004424,              0.0004424,              0.0004424
                    121,                  1.145,                0.77243,                 1.4378,                0.79234,                 0.5442,                0.65734,                0.33908,                 1.7539,                 1.6162,                 2.4352,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.1617,                0.78999,                 1.4275,                0.79605,                 0.5221,                0.66894,                0.34624,                  1.738,                 1.6976,                 2.4412,               0.000416,               0.000416,               0.000416
                    123,                 1.1498,                0.78761,                 1.4423,                0.70385,                0.58287,                0.67189,                0.35602,                 1.7126,                 1.5563,                 2.4483,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.1567,                 0.7958,                 1.4398,                0.74587,                0.59998,                0.67962,                0.34136,                 1.7892,                  1.559,                 2.5582,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.1569,                0.80484,                 1.4597,                0.76906,                0.54972,                0.67299,                0.34442,                  1.788,                 1.5982,                 2.4675,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.1352,                 0.7748,                 1.4353,                0.71662,                0.59945,                0.66515,                0.34279,                 1.7892,                  1.584,                 2.4536,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.1576,                0.78373,                 1.4389,                0.75587,                0.57305,                0.66972,                0.33818,                 1.7959,                 1.6172,                  2.498,                0.00035,                0.00035,                0.00035
                    128,                 1.1226,                0.77175,                 1.4263,                0.72744,                0.58287,                0.65341,                0.32362,                 1.7881,                 1.6257,                 2.5107,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.1046,                0.75397,                 1.4103,                0.76802,                0.58534,                0.68015,                0.34941,                 1.7706,                 1.5428,                 2.4804,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.1214,                0.75262,                 1.4174,                0.73475,                0.58921,                 0.6722,                0.34456,                 1.7889,                 1.5758,                 2.5103,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.0992,                0.75759,                 1.4044,                0.77562,                0.55525,                0.66706,                 0.3394,                 1.7589,                  1.644,                 2.4663,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.1008,                0.73057,                    1.4,                0.78559,                0.58287,                0.67831,                0.34484,                 1.7649,                 1.6206,                 2.4774,               0.000284,               0.000284,               0.000284
                    133,                   1.09,                0.75824,                 1.3968,                0.67117,                0.62022,                0.67334,                0.34822,                 1.7589,                 1.6086,                 2.4913,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.0935,                0.75615,                 1.4072,                0.77166,                0.57881,                0.68451,                0.35118,                 1.7565,                 1.5269,                 2.4648,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.0937,                0.74871,                 1.4074,                 0.7424,                0.61303,                0.68925,                0.35462,                 1.7207,                 1.5225,                 2.4645,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.0787,                0.72275,                  1.382,                0.69312,                0.61769,                0.68766,                0.35201,                 1.7487,                 1.6109,                 2.4548,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.0763,                 0.7239,                 1.3869,                0.75225,                0.57874,                 0.6739,                0.34446,                  1.766,                 1.6876,                 2.4784,               0.000218,               0.000218,               0.000218
                    138,                 1.0753,                0.72296,                 1.3935,                0.75063,                0.55801,                0.66811,                0.33959,                  1.784,                 1.5975,                  2.552,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.0829,                0.72319,                 1.3793,                0.72827,                 0.6105,                0.68231,                0.35078,                 1.7732,                 1.5436,                 2.4978,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.0614,                0.72368,                 1.3876,                0.74022,                 0.6326,                0.71232,                0.36979,                 1.7199,                 1.4267,                 2.4287,              0.0001784,              0.0001784,              0.0001784
                    141,                0.95808,                0.58261,                 1.3585,                 0.7165,                0.61878,                0.69724,                0.35025,                 1.7571,                 1.5451,                 2.5084,              0.0001652,              0.0001652,              0.0001652
                    142,                0.95302,                0.57288,                 1.3448,                0.75779,                0.62431,                0.70366,                0.35571,                 1.7718,                 1.4967,                  2.557,               0.000152,               0.000152,               0.000152
                    143,                0.93102,                0.56897,                 1.3302,                0.77367,                 0.6326,                0.70993,                0.36657,                 1.7631,                 1.5002,                 2.5438,              0.0001388,              0.0001388,              0.0001388
                    144,                 0.9196,                0.55448,                 1.3306,                0.74925,                0.64641,                0.72985,                 0.3719,                 1.7692,                 1.4627,                 2.5359,              0.0001256,              0.0001256,              0.0001256
                    145,                 0.9375,                 0.5657,                 1.3514,                0.74576,                0.64917,                0.71387,                0.36752,                 1.7675,                 1.4556,                 2.5529,              0.0001124,              0.0001124,              0.0001124
                    146,                 0.9134,                0.55142,                 1.3126,                0.75214,                0.62871,                0.70462,                0.35934,                 1.7707,                 1.5089,                 2.5807,               9.92e-05,               9.92e-05,               9.92e-05
